Latitude,Longitude,Window
-29.325,-6.425,2.0
-29.275,-6.375,2.0
-26.625,-11.725,2.0
-23.225,37.325,2.0
-23.175,37.375,1.0
-23.175,37.425,1.0
-20.475,35.525,2.0
-20.475,35.575,2.0
-18.325,31.325,2.0
-15.675,-0.525,2.0
-15.275,11.875,2.0
-15.075,11.375,2.0
-14.325,38.375,2.0
-14.175,8.025,1.0
-13.375,7.625,2.0
-13.075,-10.325,2.0
-10.125,-9.975,2.0
-8.825,41.575,2.0
-8.625,44.825,2.0
-7.725,1.875,2.0
-7.425,3.475,1.0
-7.375,-18.275,2.0
-3.625,-5.975,3.0
-3.275,-12.025,2.0
-2.975,-1.925,2.0
-2.825,-2.925,2.0
-2.575,22.125,1.0
-2.525,22.125,1.0
-2.525,22.175,2.0
-2.475,22.075,1.0
-2.475,22.125,2.0
-2.475,22.175,2.0
-2.425,-1.675,2.0
-2.425,22.125,1.0
-2.425,22.175,1.0
-2.425,22.225,4.0
-2.375,21.925,2.0
-2.375,22.075,1.0
-2.375,22.125,1.0
-2.375,22.175,2.0
-2.275,21.825,1.0
-2.275,21.875,1.0
-2.275,21.925,1.0
-2.275,21.975,1.0
-2.225,21.825,1.0
-2.225,21.875,1.0
-2.225,21.925,1.0
-2.225,21.975,1.0
-2.225,22.025,3.0
-2.225,22.075,3.0
-2.225,22.125,3.0
-2.175,21.825,1.0
-2.175,21.875,1.0
-2.175,21.925,1.0
-2.175,21.975,1.0
-2.175,22.025,2.0
-2.175,22.075,2.0
-2.175,22.125,3.0
-2.175,22.175,3.0
-2.125,21.875,1.0
-2.125,21.925,1.0
-2.125,21.975,1.0
-2.125,22.025,2.0
-2.125,22.075,3.0
-2.125,22.125,3.0
-2.125,22.175,3.0
-2.125,22.225,4.0
-2.075,21.925,1.0
-2.075,21.975,2.0
-2.075,22.025,2.0
-2.075,22.075,3.0
-2.075,22.125,3.0
-2.075,22.175,3.0
-2.025,21.925,2.0
-2.025,21.975,3.0
-2.025,22.025,3.0
-2.025,22.075,3.0
-2.025,22.125,3.0
-2.025,22.175,4.0
-2.025,22.225,4.0
-1.975,21.975,4.0
-1.975,22.075,3.0
-1.975,22.125,4.0
-1.975,22.175,4.0
-1.975,22.225,4.0
-1.925,21.775,1.0
-1.925,22.075,4.0
-1.925,22.125,4.0
-1.925,22.175,4.0
-1.925,22.225,4.0
-1.225,21.575,3.0
-1.175,21.275,4.0
-1.175,21.575,4.0
-1.175,21.675,3.0
-1.175,21.725,3.0
-1.125,21.525,2.0
-1.125,21.575,1.0
-1.125,21.675,3.0
-1.125,21.725,3.0
-1.075,21.325,4.0
-1.075,21.425,4.0
-1.075,21.525,2.0
-1.075,21.575,2.0
-1.025,21.425,1.0
-1.025,21.475,1.0
-1.025,21.525,2.0
-1.025,21.575,1.0
-1.025,21.625,1.0
-0.975,21.225,2.0
-0.925,21.375,3.0
-0.925,33.075,3.0
-0.925,33.125,3.0
-0.775,21.175,1.0
-0.725,21.525,3.0
-0.725,21.625,3.0
-0.725,21.725,3.0
-0.675,21.625,4.0
-0.675,21.675,3.0
-0.675,21.725,4.0
-0.625,21.325,1.0
-0.625,21.625,2.0
-0.625,21.675,3.0
-0.625,21.725,3.0
-0.625,21.775,3.0
-0.575,20.875,1.0
-0.575,20.925,1.0
-0.575,20.975,1.0
-0.575,21.025,1.0
-0.575,21.225,3.0
-0.575,21.675,3.0
-0.575,21.725,3.0
-0.575,21.775,3.0
-0.575,21.825,4.0
-0.525,20.825,1.0
-0.525,20.875,1.0
-0.525,20.925,1.0
-0.525,20.975,1.0
-0.525,21.025,1.0
-0.525,21.075,1.0
-0.525,21.125,2.0
-0.525,21.175,2.0
-0.525,21.525,1.0
-0.525,21.575,1.0
-0.525,21.625,2.0
-0.525,21.675,2.0
-0.525,21.725,3.0
-0.525,21.775,3.0
-0.525,21.825,4.0
-0.525,21.875,4.0
-0.475,20.775,1.0
-0.475,20.875,1.0
-0.475,20.925,1.0
-0.475,20.975,2.0
-0.475,21.025,1.0
-0.475,21.075,1.0
-0.475,21.125,2.0
-0.475,21.175,1.0
-0.475,21.275,4.0
-0.475,21.575,2.0
-0.475,21.625,2.0
-0.475,21.675,2.0
-0.475,21.725,3.0
-0.475,21.775,3.0
-0.475,21.825,3.0
-0.475,21.875,4.0
-0.475,22.275,4.0
-0.475,32.975,4.0
-0.475,33.025,4.0
-0.425,20.725,2.0
-0.425,20.775,1.0
-0.425,20.825,1.0
-0.425,20.875,1.0
-0.425,20.925,1.0
-0.425,20.975,1.0
-0.425,21.025,1.0
-0.425,21.075,1.0
-0.425,21.175,2.0
-0.425,21.225,3.0
-0.425,21.275,4.0
-0.425,21.625,2.0
-0.425,21.725,2.0
-0.425,21.775,2.0
-0.425,21.825,3.0
-0.425,21.875,3.0
-0.425,21.925,3.0
-0.425,21.975,3.0
-0.425,22.225,4.0
-0.375,20.575,2.0
-0.375,20.675,2.0
-0.375,20.825,1.0
-0.375,20.875,1.0
-0.375,20.925,1.0
-0.375,20.975,1.0
-0.375,21.025,1.0
-0.375,21.075,1.0
-0.375,21.125,2.0
-0.375,21.175,2.0
-0.375,21.225,3.0
-0.375,21.275,4.0
-0.375,21.325,4.0
-0.375,21.625,1.0
-0.375,21.775,2.0
-0.375,21.825,2.0
-0.375,21.875,3.0
-0.375,21.925,3.0
-0.325,20.775,3.0
-0.325,20.875,2.0
-0.325,20.925,1.0
-0.325,20.975,1.0
-0.325,21.025,3.0
-0.325,21.075,2.0
